chain_id,cell,expected,observed,verdict,command,output_path,fixture_state_hash,cleanup_verified
X-PERS-03r,direct-parser-legacy-corpus,"Beta4 preserves the pinned legacy URL shorthand gradient repeat position and color values exactly as 7.0.2 does.","Every pinned legacy safe value was byte-identical after safecss_filter_attr() on both builds.",REFUTED,bash chains/X-PERS-03r/run.sh,chains/X-PERS-03r/evidence-beta4.txt,f79dd2af55f04934c364ba9a862c9a16bcd7aa104d0b178bdc67bccfe17361a5,yes
X-PERS-03r,direct-parser-new-combined-form,"7.0.2 rejects and beta4 accepts linear-gradient plus URL.","7.0.2 returned an empty value; beta4 preserved both spaced and tight combined forms.",REFUTED,bash chains/X-PERS-03r/run.sh,chains/X-PERS-03r/evidence-beta4.txt,f79dd2af55f04934c364ba9a862c9a16bcd7aa104d0b178bdc67bccfe17361a5,yes
X-PERS-03r,direct-parser-unsafe-url-control,"Both builds reject JavaScript URLs in background-image and background shorthand.","Both builds returned empty values for both unsafe controls.",REFUTED,bash chains/X-PERS-03r/run.sh,chains/X-PERS-03r/evidence-beta4.txt,f79dd2af55f04934c364ba9a862c9a16bcd7aa104d0b178bdc67bccfe17361a5,yes
X-PERS-03r,author-full-content-resave,"A lower-privilege full-content re-save on beta4 preserves legacy safe backgrounds while admitting the new combined form and removing an unsafe URL.","Beta4 preserved all legacy safe values and the combined form; it removed the JavaScript URL. 7.0.2 preserved legacy values but removed both the combined form and unsafe URL.",REFUTED,bash chains/X-PERS-03r/run.sh,chains/X-PERS-03r/evidence-beta4.txt,f79dd2af55f04934c364ba9a862c9a16bcd7aa104d0b178bdc67bccfe17361a5,yes
C-02,prior-stable-core,"Target file set equals clean beta4 after Core update.","243 extra core files remain under wp-includes/images/icon-library; zero clean files are missing.",CONFIRMED,bash chains/C-02/run.sh,chains/C-02/evidence-beta4.txt,7bff19ff797c815109f65514b5b2105e3ce0dc301df4bbeaa8caad9a16a73bf3,yes
C-02,prior-stable-wp-cli,"Target file set equals clean beta4 after WP-CLI update.","Zero extra and zero missing core files; file-name-set hash equals the clean beta4 fixture.",REFUTED,bash chains/C-02/run.sh,chains/C-02/evidence-beta4.txt,584ddbe5396086750112432ad78e506454d0b57debc19b5c559ff780d22aa039,yes
C-02,prior-beta-core,"Verified beta3-to-beta4 Core-updater fixture.","Fixture identifies as 7.0.2 rather than beta4.",BLOCKED,bash chains/C-02/run.sh,chains/C-02/evidence-beta4.txt,3a3d327dd54292ae4e164aba74a29bfb591dd512572bed0aef5f30ba3494312d,yes
C-02,prior-beta-wp-cli,"Verified beta3-to-beta4 WP-CLI fixture.","No verified fixture exists.",BLOCKED,bash chains/C-02/run.sh,chains/C-02/evidence-beta4.txt,fixture-absent,yes
C-03,archived-first-load,"First load is observed and the site flag is restored before interpreting feature behavior.","The restored site returned HTTP 200 and stayed at db_version 61832; no schema-dependent feature was named; archived flag restored to 1.",INCONCLUSIVE,bash chains/C-03/run.sh,chains/C-03/evidence-beta4.txt,f8e3d6ac60813926de09e5a506fd7767be6739095fc7a440ca92fed609df9143,yes
C-04,dependency-network/scope-network/viewer-super-admin,"A network-active dependency satisfies runtime checks and permits the dependent's network activation affordance.","Runtime effective=true and unmet=false; action button is disabled; REST GET reports only the dependent's inactive status.",CONFIRMED,bash chains/C-04/run.sh,chains/C-04/evidence-beta4.txt,f8e3d6ac60813926de09e5a506fd7767be6739095fc7a440ca92fed609df9143,yes
