cell_id,source_version,source_php_support,fixture_php,env,updater_lane,tier,target_build,pre_assert,post_assert,verdict,evidence_path,cleanup_verified,notes
L1-01,4.9,,7.4,single,core-updater,T1,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-02,5.0,,7.4,single,core-updater,T1,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-03,5.1,,7.4,single,core-updater,T2,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-04,5.2,,7.4,single,core-updater,T2,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-05,5.3,,7.4,single,core-updater,T2,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-06,5.4,,7.4,single,core-updater,T2,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-07,5.5,,7.4,single,core-updater,T2,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-08,5.6,,7.4,single,core-updater,T2,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-09,5.7,,7.4,single,core-updater,T2,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-10,5.8,,7.4,single,core-updater,T2,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-11,5.9,,7.4,single,core-updater,T2,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-12,6.0,,7.4,single,core-updater,T2,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-13,6.1,,7.4,single,core-updater,T2,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-14,6.2,,7.4,single,core-updater,T1,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-15,6.3,,7.4,single,core-updater,T1,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-16,6.4,,7.4,single,core-updater,T2,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-17,6.5,,7.4,single,core-updater,T2,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-18,6.6,,7.4,single,core-updater,T1,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
L1-19,6.7,,7.4,single,core-updater,T2,,"version, db_version, site inventory + flags, content counts, fixture hash","version, db_version, counts, tree vs clean install, admin 200, front 200, no new fatals",,,,PHP 7.4 pinned: the only band where 4.9 and the target both run
